strike,gex_vol,gex_oi,type,importance,label
631.25,0,4864.848,support,8,Major Support (OI)
640.62,0,4864.848,resistance,8,Major Resistance (OI)
637.5,0,385.55,support,7,Support
638.12,0,82.6,support,7,Support
639.5,0,85.4,support,7,Support
640.0,0,418.85,support,7,Support
640.5,0,165.51,support,7,Support
641.25,0,89.57,support,7,Support
642.5,0,779.36,support,7,Support
644.38,0,81.96,support,7,Support
645.0,0,473.64,support,7,Support
647.5,0,111.51,support,7,Support
648.75,0,147.56,support,7,Support
650.0,0,453.43,support,7,Support
652.5,0,152.43,support,7,Support
